Year,Team,Continent,Wins,Draws,Losses,Goals,Total Games,Average Goals,Win Rate
2011,Gambia,Africa,2,1,4,8,7,1.1428571428571428,28.57142857142857
2011,Georgia,Europe,3,1,5,8,9,0.8888888888888888,33.33333333333333
2011,Germany,Europe,9,3,1,36,13,2.769230769230769,69.23076923076923
2011,Ghana,Africa,5,2,2,15,9,1.6666666666666667,55.55555555555556
2011,Greece,Europe,6,5,1,14,12,1.1666666666666667,50.0
2011,Grenada,North America,1,2,8,8,11,0.7272727272727273,9.090909090909092
2011,Guam,Asia,1,0,3,3,4,0.75,25.0
2011,Guatemala,North America,6,2,5,21,13,1.6153846153846154,46.15384615384615
2011,Guinea,Africa,2,4,2,11,8,1.375,25.0
2011,Guinea-Bissau,Africa,2,1,5,9,8,1.125,25.0
2011,Guyana,South America,6,1,3,14,10,1.4,60.0
2011,Haiti,North America,4,1,2,21,7,3.0,57.14285714285714
2011,Honduras,North America,8,4,7,25,19,1.3157894736842106,42.10526315789473
2011,Hong Kong,Asia,1,2,3,9,6,1.5,16.666666666666664
2011,Hungary,Europe,7,1,3,23,11,2.090909090909091,63.63636363636363
2011,IR Iran,Asia,12,2,1,36,15,2.4,80.0
2011,Iceland,Europe,1,1,4,4,6,0.6666666666666666,16.666666666666664
2011,India,Asia,8,5,7,36,20,1.8,40.0
2011,Indonesia,Asia,2,2,6,12,10,1.2,20.0
2011,Iraq,Asia,9,2,8,18,19,0.9473684210526315,47.368421052631575
2011,Israel,Europe,4,0,4,11,8,1.375,50.0
2011,Italy,Europe,8,2,2,17,12,1.4166666666666667,66.66666666666666
2011,Jamaica,North America,4,0,6,13,10,1.3,40.0
2011,Japan,Asia,10,4,1,32,15,2.1333333333333333,66.66666666666666
2011,Jordan,Asia,9,9,3,40,21,1.9047619047619047,42.857142857142854
2011,Kazakhstan,Europe,1,3,4,8,8,1.0,12.5
2011,Kenya,Africa,6,1,10,16,17,0.9411764705882353,35.294117647058826
2011,Korea DPR,Asia,7,3,6,13,16,0.8125,43.75
2011,Korea Republic,Asia,10,4,3,35,17,2.0588235294117645,58.82352941176471
2011,Kuwait,Asia,8,6,6,26,20,1.3,40.0
2011,Kyrgyz Republic,Asia,1,0,4,5,5,1.0,20.0
2011,Laos,Asia,1,1,3,12,5,2.4,20.0
2011,Latvia,Europe,3,1,5,9,9,1.0,33.33333333333333
2011,Lebanon,Asia,4,1,7,16,12,1.3333333333333333,33.33333333333333
2011,Lesotho,Africa,1,3,2,3,6,0.5,16.666666666666664
2011,Liberia,Africa,2,2,2,5,6,0.8333333333333334,33.33333333333333
2011,Libya,Africa,1,3,0,5,4,1.25,25.0
2011,Liechtenstein,Europe,2,1,5,4,8,0.5,25.0
2011,Lithuania,Europe,2,1,5,7,8,0.875,25.0
2011,Luxembourg,Europe,2,0,8,5,10,0.5,20.0
2011,Macau,Asia,1,0,5,6,6,1.0,16.666666666666664
2011,Madagascar,Africa,1,1,5,6,7,0.8571428571428571,14.285714285714285
2011,Malawi,Africa,3,7,2,9,12,0.75,25.0
2011,Malaysia,Asia,3,3,3,14,9,1.5555555555555556,33.33333333333333
2011,Maldives,Africa,5,4,3,17,12,1.4166666666666667,41.66666666666667
2011,Mali,Africa,2,1,3,7,6,1.1666666666666667,33.33333333333333
2011,Malta,Europe,1,2,5,5,8,0.625,12.5
2011,Mauritius,Africa,0,0,4,1,4,0.25,0.0
2011,Mexico,North America,12,4,5,40,21,1.9047619047619047,57.14285714285714
2011,Moldova,Europe,2,0,8,11,10,1.1,20.0
2011,Mongolia,Asia,2,0,2,3,4,0.75,50.0
2011,Montenegro,Europe,1,2,5,7,8,0.875,12.5
2011,Montserrat,North America,0,0,2,3,2,1.5,0.0
2011,Morocco,Africa,4,2,2,13,8,1.625,50.0
2011,Mozambique,Africa,4,1,2,11,7,1.5714285714285714,57.14285714285714
2011,Myanmar,Asia,1,2,7,5,10,0.5,10.0
